2025-12-02 20:11:46 | INFO     | emotion_detector | Background emotion monitoring started
2025-12-02 20:11:46 | INFO     | app | Background emotion monitor started
2025-12-02 20:11:46 | INFO     | conversation_memory | Database initialized successfully
2025-12-02 20:11:46 | INFO     | app | Database and audio directory initialized
2025-12-02 20:11:46 | INFO     | app | ROOMie Backend v3.0 starting...
2025-12-02 20:11:46 | INFO     | app | Server: http://127.0.0.1:5000
2025-12-02 20:11:46 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-12-02 20:11:55 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.81)
2025-12-02 20:12:05 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.97)
2025-12-02 20:12:06 | INFO     | emotion_detector | Background emotion monitoring started
2025-12-02 20:12:06 | INFO     | app | Background emotion monitor started
2025-12-02 20:12:06 | INFO     | conversation_memory | Database initialized successfully
2025-12-02 20:12:06 | INFO     | app | Database and audio directory initialized
2025-12-02 20:12:06 | INFO     | app | ROOMie Backend v3.0 starting...
2025-12-02 20:12:06 | INFO     | app | Server: http://127.0.0.1:5000
2025-12-02 20:12:06 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-12-02 20:12:16 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:12:18 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:12:26 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.55)
2025-12-02 20:12:28 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:12:38 | INFO     | emotion_detector | Detected emotion: sad (confidence: 1.00)
2025-12-02 20:12:39 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:12:47 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:12:49 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:12:54 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:12:55 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:13:01 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:13:02 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.99)
2025-12-02 20:13:07 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:13:09 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.91)
2025-12-02 20:13:14 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:13:16 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.99)
2025-12-02 20:13:21 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.52)
2025-12-02 20:13:22 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:13:27 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:13:29 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-12-02 20:13:34 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
