2026-03-24 10:39:10 | INFO     | emotion_detector | Background emotion monitoring started
2026-03-24 10:39:10 | INFO     | app | Background emotion monitor started
2026-03-24 10:39:10 | INFO     | conversation_memory | Database initialized successfully
2026-03-24 10:39:10 | INFO     | app | Database and audio directory initialized
2026-03-24 10:39:10 | INFO     | app | ROOMie Backend v3.0 starting...
2026-03-24 10:39:10 | INFO     | app | Server: http://127.0.0.1:5000
2026-03-24 10:39:10 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2026-03-24 10:39:17 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:19 | INFO     | emotion_detector | Background emotion monitoring started
2026-03-24 10:39:19 | INFO     | app | Background emotion monitor started
2026-03-24 10:39:19 | INFO     | conversation_memory | Database initialized successfully
2026-03-24 10:39:19 | INFO     | app | Database and audio directory initialized
2026-03-24 10:39:19 | INFO     | app | ROOMie Backend v3.0 starting...
2026-03-24 10:39:19 | INFO     | app | Server: http://127.0.0.1:5000
2026-03-24 10:39:19 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2026-03-24 10:39:23 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:24 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:30 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.99)
2026-03-24 10:39:31 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.99)
2026-03-24 10:39:36 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:37 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:42 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:43 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:50 | INFO     | emotion_detector | Detected emotion: angry (confidence: 1.00)
2026-03-24 10:39:51 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.75)
2026-03-24 10:39:57 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:39:57 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:40:03 | WARNING  | emotion_detector | Failed to capture frame from camera
2026-03-24 10:40:04 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.55)
2026-03-24 10:40:10 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.92)
2026-03-24 10:40:11 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.47)
2026-03-24 10:40:17 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.94)
2026-03-24 10:40:17 | INFO     | emotion_detector | Detected emotion: happy (confidence: 1.00)
2026-03-24 10:40:26 | WARNING  | emotion_detector | Failed to capture frame from camera
2026-03-24 10:40:26 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2026-03-24 10:40:28 | INFO     | emotion_detector | Background emotion monitoring started
2026-03-24 10:40:30 | INFO     | emotion_detector | Background emotion monitoring stopped
2026-03-24 10:40:37 | WARNING  | emotion_detector | Failed to capture frame from camera
2026-03-24 10:40:37 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:40:38 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:40:48 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.88)
2026-03-24 10:40:48 | INFO     | conversation_memory | Created new user: shivansh
2026-03-24 10:40:48 | INFO     | tts_output | Generating TTS with voice 'nova' for tone 'cheerful' (speed: 1.0)
2026-03-24 10:40:48 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.84)
2026-03-24 10:40:50 | ERROR    | tts_output | TTS generation error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************DNYA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-03-24 10:40:57 | WARNING  | emotion_detector | Failed to capture frame from camera
2026-03-24 10:40:58 | WARNING  | emotion_detector | Failed to capture frame from camera
2026-03-24 10:41:08 | INFO     | emotion_detector | Detected emotion: fear (confidence: 1.00)
2026-03-24 10:41:08 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.99)
2026-03-24 10:41:18 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.78)
2026-03-24 10:41:19 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.77)
2026-03-24 10:41:20 | INFO     | emotion_detector | Background emotion monitoring started
2026-03-24 10:41:20 | INFO     | emotion_detector | Emotion monitor updated for user: 6
2026-03-24 10:41:22 | INFO     | emotion_detector | Background emotion monitoring stopped
2026-03-24 10:41:22 | INFO     | emotion_detector | Background emotion monitoring started
2026-03-24 10:41:22 | INFO     | emotion_detector | Emotion monitor updated for user: 6
2026-03-24 10:41:28 | INFO     | voice_tone | Voice tone analysis: neutral (confidence: 0.50)
