2025-11-22 08:30:55 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-22 08:30:55 | INFO     | app | Background emotion monitor started
2025-11-22 08:30:55 | INFO     | conversation_memory | Database initialized successfully
2025-11-22 08:30:55 | INFO     | app | Database and audio directory initialized
2025-11-22 08:30:55 | INFO     | app | ROOMie Backend v3.0 starting...
2025-11-22 08:30:55 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-22 08:30:55 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-22 08:31:06 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.88)
2025-11-22 08:31:14 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-22 08:31:14 | INFO     | app | Background emotion monitor started
2025-11-22 08:31:14 | INFO     | conversation_memory | Database initialized successfully
2025-11-22 08:31:14 | INFO     | app | Database and audio directory initialized
2025-11-22 08:31:14 | INFO     | app | ROOMie Backend v3.0 starting...
2025-11-22 08:31:14 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-22 08:31:14 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-22 08:31:14 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.76)
2025-11-22 08:31:22 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.49)
2025-11-22 08:31:22 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.59)
2025-11-22 08:31:30 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:31:31 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.58)
2025-11-22 08:31:40 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.46)
2025-11-22 08:31:41 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.68)
2025-11-22 08:31:51 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:31:52 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.95)
2025-11-22 08:31:55 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-22 08:32:06 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:32:06 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:32:09 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:32:22 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:32:24 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:32:24 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:32:43 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-11-22 08:32:44 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-11-22 08:32:46 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.50)
2025-11-22 08:32:57 | INFO     | voice_tone | Voice tone analysis: angry (confidence: 0.67)
2025-11-22 08:33:04 | INFO     | ai_core | AI response generated: Hey there. It sounds like something might be bothe...
2025-11-22 08:33:04 | INFO     | tts_output | Generating TTS with voice 'echo' for tone 'sad'
2025-11-22 08:33:07 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.60)
2025-11-22 08:33:09 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.61)
2025-11-22 08:33:11 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.76)
2025-11-22 08:33:12 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmppevxo1q6.mp3
2025-11-22 08:33:15 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.54)
2025-11-22 08:33:17 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.63)
2025-11-22 08:33:21 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.59)
2025-11-22 08:33:23 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.54)
2025-11-22 08:33:25 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.73)
2025-11-22 08:33:32 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-22 08:33:32 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.89)
2025-11-22 08:33:34 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.97)
2025-11-22 08:33:41 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.71)
2025-11-22 08:33:43 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.86)
2025-11-22 08:33:43 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.84)
2025-11-22 08:33:48 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.67)
2025-11-22 08:33:51 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.74)
2025-11-22 08:33:53 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.62)
2025-11-22 08:33:56 | INFO     | emotion_detector | Detected emotion: fear (confidence: 0.59)
2025-11-22 08:33:58 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.49)
2025-11-22 08:34:02 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-11-22 08:34:02 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.99)
2025-11-22 08:34:05 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.61)
2025-11-22 08:34:10 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.96)
2025-11-22 08:34:11 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.45)
2025-11-22 08:34:12 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.57)
