2025-11-26 10:39:01 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-26 10:39:01 | INFO     | app | Background emotion monitor started
2025-11-26 10:39:01 | INFO     | conversation_memory | Database initialized successfully
2025-11-26 10:39:01 | INFO     | app | Database and audio directory initialized
2025-11-26 10:39:01 | INFO     | app | ROOMie Backend v3.0 starting...
2025-11-26 10:39:01 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-26 10:39:01 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-26 10:39:07 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.63)
2025-11-26 10:39:12 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-26 10:39:12 | INFO     | app | Background emotion monitor started
2025-11-26 10:39:12 | INFO     | conversation_memory | Database initialized successfully
2025-11-26 10:39:12 | INFO     | app | Database and audio directory initialized
2025-11-26 10:39:12 | INFO     | app | ROOMie Backend v3.0 starting...
2025-11-26 10:39:12 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-26 10:39:12 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-26 10:39:14 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.57)
2025-11-26 10:39:17 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.98)
2025-11-26 10:39:21 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.80)
2025-11-26 10:39:24 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.48)
2025-11-26 10:39:27 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.87)
2025-11-26 10:39:30 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.56)
2025-11-26 10:39:34 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.95)
2025-11-26 10:39:37 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.89)
2025-11-26 10:39:41 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.39)
2025-11-26 10:39:43 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.67)
