2025-11-21 22:30:05 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.94)
2025-11-21 22:30:18 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:30:19 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.79)
2025-11-21 22:30:32 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:30:33 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.50)
2025-11-21 22:30:46 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:30:46 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.99)
2025-11-21 22:31:00 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:31:00 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.66)
2025-11-21 22:31:13 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:31:14 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.94)
2025-11-21 22:31:28 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:31:28 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.76)
2025-11-21 22:31:41 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:31:42 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.91)
2025-11-21 22:31:55 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:31:55 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.82)
2025-11-21 22:32:09 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:32:09 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.82)
2025-11-21 22:32:36 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-21 22:32:36 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-21 22:32:36 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-21 22:32:36 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-21 22:32:36 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-21 22:32:36 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-21 22:32:36 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-21 22:32:43 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.83)
2025-11-21 22:32:56 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.62)
2025-11-21 22:33:10 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.82)
2025-11-21 22:33:24 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.51)
2025-11-21 22:33:38 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.62)
2025-11-21 22:33:52 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.68)
2025-11-21 22:34:06 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.70)
2025-11-21 22:34:20 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.63)
2025-11-21 22:34:53 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-21 22:34:53 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-21 22:34:53 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-21 22:34:53 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-21 22:34:53 | INFO     | app | Server: http://127.0.0.1:5000
2025-11-21 22:34:53 | INFO     | app | WebSocket: ws://127.0.0.1:5000
2025-11-21 22:34:54 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-21 22:35:00 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.80)
2025-11-21 22:35:14 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.50)
2025-11-21 22:35:28 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.51)
2025-11-21 22:35:42 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.72)
2025-11-21 22:35:57 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.71)
2025-11-21 22:36:10 | INFO     | ai_core | AI response generated: It seems like something might be bothering you. If...
2025-11-21 22:36:10 | INFO     | tts_output | Generating TTS with voice 'echo' for tone 'sad'
2025-11-21 22:36:11 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.72)
2025-11-21 22:36:14 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmp8b4utpu6.mp3
2025-11-21 22:36:14 | INFO     | app | Initializing ROOMie backend...
2025-11-21 22:36:14 | INFO     | conversation_memory | Database initialized successfully
2025-11-21 22:36:14 | INFO     | emotion_detector | Background emotion monitoring started
2025-11-21 22:36:14 | INFO     | app | ROOMie backend initialized successfully
2025-11-21 22:36:24 | INFO     | ai_core | AI response generated: It sounds like you're feeling weighed down by resp...
2025-11-21 22:36:24 | INFO     | tts_output | Generating TTS with voice 'echo' for tone 'sad'
2025-11-21 22:36:33 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:36:33 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmpqdlk_xt3.mp3
2025-11-21 22:36:33 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.63)
2025-11-21 22:36:47 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.61)
2025-11-21 22:36:48 | INFO     | emotion_detector | Detected emotion: sad (confidence: 0.64)
2025-11-21 22:37:01 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:37:02 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.79)
2025-11-21 22:37:15 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.76)
2025-11-21 22:37:16 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.73)
2025-11-21 22:37:29 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:37:30 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.79)
2025-11-21 22:37:43 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.80)
2025-11-21 22:37:44 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.78)
2025-11-21 22:37:57 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:37:58 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.81)
2025-11-21 22:38:11 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.82)
2025-11-21 22:38:12 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.81)
2025-11-21 22:38:25 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:38:25 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.82)
2025-11-21 22:38:39 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:38:39 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.82)
2025-11-21 22:38:52 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:38:53 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.82)
2025-11-21 22:39:06 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:39:07 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.81)
2025-11-21 22:39:20 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:39:21 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.80)
2025-11-21 22:40:17 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:40:17 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:40:26 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:40:27 | INFO     | emotion_detector | Detected emotion: angry (confidence: 0.50)
2025-11-21 22:40:42 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:40:43 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:40:55 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.92)
2025-11-21 22:40:55 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.72)
2025-11-21 22:41:12 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:41:12 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:41:20 | ERROR    | analytics | Error generating emotion summary: unsupported operand type(s) for +=: 'int' and 'bytes'
2025-11-21 22:41:20 | ERROR    | analytics | Error generating emotion summary: unsupported operand type(s) for +=: 'int' and 'bytes'
2025-11-21 22:41:27 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:41:28 | INFO     | emotion_detector | Detected emotion: happy (confidence: 1.00)
2025-11-21 22:41:30 | INFO     | ai_core | AI response generated: It's okay to take your time. I'm here for you when...
2025-11-21 22:41:30 | INFO     | tts_output | Generating TTS with voice 'echo' for tone 'sad'
2025-11-21 22:41:33 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmpb451w8oo.mp3
2025-11-21 22:41:45 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:41:45 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 0.92)
2025-11-21 22:41:46 | INFO     | ai_core | AI response generated: It sounds like you're trying to express something ...
2025-11-21 22:41:46 | INFO     | tts_output | Generating TTS with voice 'echo' for tone 'sad'
2025-11-21 22:41:50 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmp2_c4gx0t.mp3
2025-11-21 22:41:53 | ERROR    | analytics | Error generating emotion summary: unsupported operand type(s) for +=: 'int' and 'bytes'
2025-11-21 22:41:53 | ERROR    | analytics | Error generating emotion summary: unsupported operand type(s) for +=: 'int' and 'bytes'
2025-11-21 22:41:57 | ERROR    | analytics | Error generating emotion summary: unsupported operand type(s) for +=: 'int' and 'bytes'
2025-11-21 22:41:57 | ERROR    | analytics | Error generating emotion summary: unsupported operand type(s) for +=: 'int' and 'bytes'
2025-11-21 22:42:02 | INFO     | ai_core | AI response generated: Are you thinking about a baby, or is something rel...
2025-11-21 22:42:02 | INFO     | tts_output | Generating TTS with voice 'nova' for tone 'neutral'
2025-11-21 22:42:04 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmp5k8so19o.mp3
2025-11-21 22:42:05 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:42:06 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.91)
2025-11-21 22:42:16 | INFO     | ai_core | AI response generated: It seems like you’re starting to say something. If...
2025-11-21 22:42:16 | INFO     | tts_output | Generating TTS with voice 'nova' for tone 'neutral'
2025-11-21 22:42:20 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmpmfjwrye3.mp3
2025-11-21 22:42:25 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.77)
2025-11-21 22:42:25 | INFO     | emotion_detector | Detected emotion: happy (confidence: 0.60)
2025-11-21 22:42:27 | INFO     | ai_core | AI response generated: Sounds like you’re about to share something intere...
2025-11-21 22:42:27 | INFO     | tts_output | Generating TTS with voice 'alloy' for tone 'happy'
2025-11-21 22:42:29 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmpzrmd8oqn.mp3
2025-11-21 22:42:36 | INFO     | ai_core | AI response generated: It sounds like you're building up to something! I'...
2025-11-21 22:42:36 | INFO     | tts_output | Generating TTS with voice 'alloy' for tone 'happy'
2025-11-21 22:42:38 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmpy3x10fef.mp3
2025-11-21 22:42:43 | WARNING  | emotion_detector | Failed to capture frame from camera
2025-11-21 22:42:44 | INFO     | emotion_detector | Detected emotion: neutral (confidence: 1.00)
2025-11-21 22:42:46 | INFO     | ai_core | AI response generated: You're building the suspense! What about "I'm" wou...
2025-11-21 22:42:46 | INFO     | tts_output | Generating TTS with voice 'alloy' for tone 'happy'
2025-11-21 22:42:49 | INFO     | tts_output | TTS audio saved: C:\Users\SHIVANSH\Desktop\ROOMie\backend\audio\tmp5xkvf7al.mp3
2025-11-21 22:42:56 | INFO     | ai_core | AI response generated: Sounds like you’re diving into something fun! Are ...
